scale factor 	0.500000
class 	 Width 	 Height 	 realDistance 	 Probability
0	107	32	0.570000	0.752021
0	107	37	0.680000	0.762666
0	106	43	0.800000	0.768489
0	106	48	0.880000	0.784996
0	105	53	1.000000	0.790866
0	103	58	1.080000	0.820852
0	101	63	1.200000	0.841844
0	100	68	1.280000	0.863286
0	99	72	1.360000	0.881899
0	98	78	1.490000	0.906171
0	98	82	1.570000	0.919702
0	104	86	1.660000	0.887381
0	104	91	1.780000	0.893684
0	104	96	1.870000	0.907970
0	103	100	1.960000	0.926767
0	101	105	2.090000	0.952905
0	101	109	2.180000	0.941366
0	100	113	2.270000	0.929358
0	99	117	2.360000	0.925266
0	97	122	2.450000	0.925736
0	96	126	2.550000	0.918116
0	95	130	2.640000	0.913912
0	94	134	2.730000	0.911773
0	93	137	2.830000	0.917451
0	92	135	3.070000	0.908516
0	91	133	3.320000	0.905497
0	90	131	3.570000	0.895674
0	91	132	3.880000	0.911466
0	87	124	4.250000	0.897231
0	86	122	4.520000	0.899192
0	86	119	4.810000	0.908283
0	84	118	5.030000	0.899450
0	83	116	5.270000	0.897707
0	83	115	5.570000	0.904557
0	83	113	5.810000	0.910743
0	80	111	6.060000	0.889489
0	80	110	6.320000	0.899928
0	79	108	6.580000	0.894580
0	79	106	6.840000	0.908286
0	78	105	7.110000	0.899777
0	77	102	7.320000	0.908586
0	76	100	7.600000	0.903302
0	75	99	7.890000	0.905645
0	75	98	8.110000	0.905435
0	74	96	8.400000	0.903623
0	74	95	8.710000	0.910910
0	73	93	8.940000	0.909069
0	73	92	9.180000	0.916504
0	72	91	9.500000	0.911301
0	71	90	9.750000	0.910209
0	70	88	10.000000	0.901567
0	70	87	10.340000	0.909091
0	69	85	10.600000	0.893523
0	69	85	10.870000	0.896853
0	67	84	11.140000	0.883326
0	67	83	11.420000	0.883206
0	67	82	11.700000	0.887329
0	66	81	11.990000	0.878190
0	66	80	12.280000	0.882353
0	65	79	12.580000	0.873052
0	65	78	12.780000	0.877256
0	63	78	13.090000	0.862191
0	63	76	13.400000	0.854962
0	62	75	13.720000	0.853057
0	62	74	13.940000	0.849398
0	62	75	14.270000	0.864264
0	61	73	14.610000	0.847397
0	61	72	14.840000	0.854932
0	60	72	15.070000	0.845342
0	60	71	15.420000	0.852954
0	58	70	15.660000	0.829712
0	58	69	16.030000	0.829274
0	59	68	16.280000	0.843229
0	58	67	16.660000	0.832870
0	57	67	16.920000	0.831039
0	56	66	17.180000	0.820526
0	56	65	17.580000	0.824695
0	56	65	17.850000	0.828116
0	55	65	18.130000	0.817971
0	55	64	18.410000	0.825636
0	54	63	18.830000	0.811288
0	54	61	18.980000	0.814864
0	54	62	19.270000	0.818974
0	53	61	19.720000	0.816288
0	53	63	20.180000	0.824621
0	52	59	20.650000	0.809296
0	52	59	20.970000	0.812857
0	52	59	21.290000	0.821607
0	50	58	21.460000	0.795446
0	50	58	21.790000	0.799049
0	50	57	22.130000	0.803382
0	49	57	22.650000	0.804696
0	49	55	23.180000	0.799494
0	48	55	23.540000	0.797088
0	48	54	23.720000	0.796274
0	48	54	24.100000	0.796274
0	47	53	24.470000	0.792949
0	47	52	24.660000	0.788333
0	47	52	25.050000	0.801377
0	46	51	25.450000	0.784825
0	45	51	25.850000	0.785961
0	45	50	26.060000	0.781199
0	45	49	26.470000	0.780200
0	45	49	26.890000	0.789728
0	44	49	27.100000	0.781334
0	44	48	27.320000	0.776416
0	44	47	27.760000	0.781148
0	44	48	27.980000	0.790000
0	43	47	28.430000	0.782273
0	43	47	28.660000	0.786256
0	42	46	28.890000	0.768444
0	43	47	29.360000	0.800511
0	41	46	29.590000	0.769413
0	41	45	30.070000	0.774268
0	41	44	30.320000	0.773088
0	41	44	30.570000	0.773088
0	40	45	31.070000	0.779533
0	40	44	31.320000	0.774176
0	40	44	31.580000	0.774176
0	39	43	32.100000	0.769840
0	40	43	32.370000	0.783565
0	39	42	32.630000	0.768627
0	39	43	33.180000	0.784889
