scale factor 	0.500000
class 	 Width 	 Height 	 realDistance 	 Probability
0	12	16	137.280000	0.912821
0	12	16	137.280000	0.912821
0	12	16	137.280000	0.912821
0	12	16	137.280000	0.912821
0	12	15	142.410000	0.950000
0	12	14	139.800000	0.879487
0	12	15	142.410000	0.950000
0	13	15	142.410000	0.891667
0	13	15	142.410000	0.891667
0	13	15	139.800000	0.950000
0	13	15	139.800000	0.950000
0	13	15	139.800000	0.950000
0	13	15	142.410000	0.891667
0	13	16	137.280000	0.966667
0	14	15	139.800000	0.896154
0	14	15	139.800000	0.896154
0	14	16	139.800000	0.912821
0	14	16	139.800000	0.912821
0	14	16	139.800000	0.912821
0	14	16	139.800000	0.912821
0	15	17	139.800000	0.891964
0	15	17	139.800000	0.891964
0	15	16	137.280000	0.913393
0	15	16	137.280000	0.913393
0	15	17	139.800000	0.891964
0	15	16	137.280000	0.913393
0	15	16	137.280000	0.913393
0	16	16	137.280000	0.957143
0	15	16	137.280000	0.913393
0	15	15	139.800000	0.934821
0	15	14	137.280000	0.956250
0	14	15	137.280000	0.896154
2	11	15	137.280000	0.925620
0	12	15	137.280000	0.896154
2	11	16	137.280000	0.894766
1	10	16	137.280000	1.000000
0	11	15	139.800000	0.842308
0	11	15	139.800000	0.842308
0	11	15	139.800000	0.842308
2	11	14	137.280000	0.944904
1	10	15	137.280000	1.000000
1	10	16	137.280000	1.000000
1	10	16	134.840000	1.000000
2	10	14	137.280000	1.000000
1	10	15	137.280000	1.000000
2	11	14	137.280000	0.944904
2	11	15	137.280000	0.925620
2	11	15	137.280000	0.925620
2	11	15	137.280000	0.925620
2	11	14	137.280000	0.944904
0	11	15	139.800000	0.842308
1	10	15	139.800000	0.925000
1	10	16	137.280000	1.000000
2	11	14	137.280000	0.944904
1	10	16	134.840000	1.000000
1	10	16	137.280000	1.000000
1	10	16	137.280000	1.000000
0	11	15	139.810000	0.842308
2	11	15	137.280000	0.925620
2	11	15	137.280000	0.925620
0	11	17	137.280000	0.875641
2	10	14	137.280000	1.000000
2	10	14	137.280000	1.000000
2	9	13	137.290000	1.000000
2	9	13	137.290000	1.000000
1	9	14	137.290000	1.000000
1	10	15	134.840000	1.000000
2	10	14	132.480000	1.000000
2	9	12	132.480000	1.000000
2	9	11	132.480000	1.000000
2	9	11	132.480000	1.000000
2	9	10	130.180000	0.981481
2	9	10	130.180000	0.981481
2	9	10	130.180000	0.981481
2	9	9	132.480000	0.872727
2	10	9	147.880000	0.832500
2	10	9	137.280000	0.755454
0	11	14	142.410000	0.875000
2	10	10	134.840000	0.903030
2	9	10	132.480000	1.000000
2	9	11	132.480000	1.000000
2	11	10	132.480000	0.790634
2	10	13	132.480000	1.000000
2	10	12	130.180000	1.000000
2	10	13	130.180000	1.000000
2	9	13	132.480000	1.000000
2	10	9	139.800000	0.807000
1	10	15	132.480000	1.000000
0	11	17	137.280000	0.875641
2	9	10	127.960000	0.948148
2	11	16	137.280000	0.894766
0	12	17	137.280000	0.929487
0	12	12	132.480000	0.846154
2	11	14	134.840000	0.944904
0	12	15	134.840000	0.896154
2	11	13	132.480000	0.952617
2	11	14	132.480000	0.944904
0	12	16	134.840000	0.912821
0	11	17	137.280000	0.875641
2	10	14	137.280000	1.000000
2	11	15	132.480000	0.925620
1	10	17	134.840000	0.994242
0	11	17	134.840000	0.875641
2	11	16	132.480000	0.894766
0	11	17	134.840000	0.875641
2	11	16	132.480000	0.894766
0	12	17	134.840000	0.929487
0	11	17	134.840000	0.875641
0	11	17	134.840000	0.875641
2	11	15	132.470000	0.925620
2	11	15	132.470000	0.925620
2	12	14	130.180000	0.913889
2	11	14	130.180000	1.000000
2	11	16	132.470000	0.894766
0	12	16	132.470000	0.912821
2	11	15	132.470000	0.925620
2	11	14	130.180000	1.000000
2	11	16	132.470000	0.894766
2	11	15	132.470000	0.925620
2	11	16	130.180000	1.000000
2	11	16	132.470000	0.894766
2	11	15	132.470000	0.925620
0	11	17	132.470000	0.875641
2	11	16	132.470000	0.894766
2	11	15	132.470000	0.925620
2	11	15	132.470000	0.925620
1	10	15	132.470000	1.000000
1	10	15	132.470000	1.000000
1	10	15	132.470000	1.000000
1	10	16	130.180000	1.000000
1	10	15	132.470000	1.000000
2	11	15	132.470000	0.925620
1	10	15	132.470000	1.000000
1	10	15	132.470000	1.000000
1	10	15	132.470000	1.000000
1	9	15	132.470000	1.000000
2	10	13	134.840000	1.000000
2	9	13	134.840000	1.000000
2	9	12	134.840000	1.000000
2	9	9	130.180000	0.825000
2	9	9	130.180000	0.825000
2	9	10	134.840000	1.000000
2	9	10	132.470000	1.000000
0	11	17	132.470000	0.875641
2	11	13	127.950000	1.000000
2	9	9	123.690000	0.754615
2	11	16	130.180000	1.000000
0	12	15	132.470000	0.896154
0	11	18	132.470000	0.892308
2	11	12	125.790000	1.000000
2	9	10	123.700000	0.898291
0	12	17	132.470000	0.929487
0	12	17	132.470000	0.929487
0	12	15	132.470000	0.896154
